Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_1,NP,PT,38.6
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_1,NP1,PT,36.0
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_1,NP2,PT,36.9
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_1,NP3,PT,28.6
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_1,NP4,PT,41.2
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_1,NP5,PT,42.0
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_1,NP6,PT,55.2
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_1,NP7,PT,53.8
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_2,NP,PT,41.5
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_2,NP1,PT,39.2
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_2,NP2,PT,39.1
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_2,NP3,PT,30.5
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_2,NP4,PT,43.9
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_2,NP5,PT,44.8
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_2,NP6,PT,60.4
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,_L_NP_01_03_01_2,NP7,PT,59.0
